City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,vorkuta,67.5,64.0,270.99,87,98,6.71,RU,1717081774
248,north platte,41.1239,-100.7654,294.33,71,37,4.47,US,1717081543
249,manga,11.6636,-1.0731,313.19,26,54,3.01,BF,1717081775
250,bathsheba,13.2167,-59.5167,304.49,74,40,10.29,BB,1717081775
251,clovis,36.8252,-119.7029,297.93,50,20,3.09,US,1717081775
252,celestun,20.8667,-90.4,304.79,58,13,2.73,MX,1717081776
253,dunedin,-45.8742,170.5036,284.15,60,93,2.87,NZ,1717081702
254,lebork,54.5392,17.7501,295.08,65,28,5.01,PL,1717081777
255,mil'kovo,55.6078,37.7956,301.37,52,97,4.77,RU,1717081777
256,st. john's,47.5649,-52.7093,295.81,71,75,7.2,CA,1717081563
257,guanica,17.9716,-66.908,306.78,72,80,6.88,PR,1717081778
258,villa gesell,-37.2639,-56.973,287.62,71,100,4.05,AR,1717081627
259,tvoroyri,61.5556,-6.8111,282.21,88,100,6.49,FO,1717081779
260,quatre cocos,-20.2078,57.7625,295.98,86,94,8.73,MU,1717081780
261,sinop,41.7711,34.8709,289.39,88,87,3.45,TR,1717081780
262,ugoofaaru,5.6667,73.0,302.03,84,100,10.67,MV,1717081780
263,invercargill,-46.4,168.35,280.56,91,97,2.54,NZ,1717081781
264,qarqaraly,49.4058,75.4742,290.47,43,83,7.1,KZ,1717081782
265,kalengwa,-13.4659,25.0027,300.65,22,0,2.14,ZM,1717081782
266,sufalat sama'il,23.3167,58.0167,310.97,11,9,2.6,OM,1717081783
267,lompoc,34.6391,-120.4579,291.4,94,20,0.0,US,1717081783
268,forster,-32.1667,152.5167,286.14,96,99,5.61,AU,1717081783
269,alvaraes,-3.2208,-64.8042,299.08,56,92,1.3,BR,1717081784
270,rawson,-43.3002,-65.1023,284.13,48,8,3.9,AR,1717081784
271,brunehault,50.5052,4.4321,290.83,68,40,2.57,BE,1717081785
272,timbuktu,16.7735,-3.0074,317.31,7,78,4.13,ML,1717081785
273,talara,-4.5772,-81.2719,296.57,68,0,6.46,PE,1717081786
274,luba,3.4568,8.5547,304.09,78,100,2.61,GQ,1717081786
275,dera bugti,29.0307,69.151,311.1,4,0,4.94,PK,1717081688
276,alice springs,-23.7,133.8833,286.9,100,100,0.0,AU,1717081787
277,huillapima,-28.7253,-65.9787,289.04,39,25,2.06,AR,1717081788
278,xuanzhou,30.9525,118.7553,290.99,98,100,0.42,CN,1717081788
279,urengoy,65.9667,78.3667,272.34,96,100,6.27,RU,1717081788
280,aweil,8.7682,27.4002,310.68,27,94,1.58,SS,1717081789
281,waddan,29.1614,16.139,311.25,10,26,1.95,LY,1717081789
282,margate,51.3813,1.3862,289.65,70,99,3.13,GB,1717081507
283,sao joao da barra,-21.6403,-41.0511,295.2,64,98,7.3,BR,1717081790
284,flying fish cove,-10.4217,105.6791,300.85,72,100,5.9,CX,1717081790
285,pyhajarvi,67.0701,27.2176,296.75,45,16,1.9,FI,1717081791
286,willowmore,-33.2926,23.4895,290.39,46,54,8.56,ZA,1717081791
287,tralee,52.2704,-9.7026,286.29,71,75,4.63,IE,1717081553
288,bangassou,4.7413,22.8184,300.79,61,100,0.78,CF,1717081792
289,ryki,51.6257,21.9327,297.53,54,100,5.85,PL,1717081793
290,higuera de zaragoza,25.95,-109.2833,300.11,46,3,3.28,MX,1717081793
291,arar,30.9753,41.0381,312.16,7,0,4.63,SA,1717081793
292,zakamensk,50.3741,103.2863,281.04,68,46,0.77,RU,1717081794
293,dien bien phu,21.3833,103.0167,297.2,95,73,0.79,VN,1717081776
294,acapulco de juarez,16.8634,-99.8901,304.05,62,20,1.54,MX,1717081795
295,ciudad lazaro cardenas,17.9583,-102.2,302.67,64,0,0.76,MX,1717081795
296,chinde,26.8418,88.0763,294.15,87,79,3.04,NP,1717081796
297,nemuro,43.3236,145.575,279.62,85,100,1.16,JP,1717081512
298,noumea,-22.2763,166.4572,295.37,99,86,6.88,NC,1717081742
299,vasteras,59.6162,16.5528,297.1,35,63,3.6,SE,1717081797
300,prestatyn,53.3375,-3.4078,291.14,82,16,1.79,GB,1717081797
301,tommot,58.9564,126.2925,285.47,59,37,1.01,RU,1717081798
302,ulladulla,-35.35,150.4667,289.69,62,100,5.56,AU,1717081798
303,yarega,63.4354,53.5765,279.19,38,8,2.49,RU,1717081799
304,auki,-8.7676,160.7034,298.08,92,99,1.62,SB,1717081799
305,tobol'sk,58.2,68.2667,278.49,48,35,0.89,RU,1717081800
306,annau,37.8876,58.516,303.87,19,0,3.09,TM,1717081800
307,mount pearl,47.5166,-52.7813,286.52,82,100,4.14,CA,1717081801
308,igugunu,-4.5667,34.6333,297.99,51,95,2.83,TZ,1717081748
309,taltal,-25.4,-70.4833,291.35,70,18,2.66,CL,1717081802
310,petropavlovsk-kamchatsky,53.0452,158.6483,277.29,75,100,0.45,RU,1717081803
311,kisangani,0.5167,25.2,301.13,68,100,1.37,CD,1717081804
312,gozyeri,40.866,32.5417,288.1,72,51,2.86,TR,1717081805
313,zindah jan,34.3426,61.7468,299.69,18,0,9.25,AF,1717081806
314,charlottetown,46.2352,-63.1267,291.24,55,0,1.79,CA,1717081625
315,la sarre,48.8002,-79.1996,284.6,35,22,2.0,CA,1717081807
316,kismayo,-0.3582,42.5454,299.59,79,96,6.9,SO,1717081807
317,juba,4.8517,31.5825,304.87,46,98,2.24,SS,1717081808
318,fortuna,40.5982,-124.1573,285.33,93,100,0.0,US,1717081808
319,darwin,-12.4611,130.8418,300.14,84,93,3.09,AU,1717081809
320,bubaque,11.2833,-15.8333,301.08,66,69,6.07,GW,1717081809
321,monticello,45.3055,-93.7941,294.88,54,0,5.66,US,1717081810
322,brookings,44.3114,-96.7984,292.34,63,40,9.26,US,1717081575
323,anyksciai,55.5256,25.1026,294.48,72,79,7.54,LT,1717081811
324,kish,26.5578,54.0194,303.64,74,0,1.19,IR,1717081811
325,novoishimskiy,53.1981,66.7694,282.28,71,84,3.87,KZ,1717081811
